Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
Thread ONET.PL:1 /,100,147281,241,294391,"147009,55","50,000%",",33406","56,67","0,12","173723,5"
Thread ONET.PL:3 /success.txt,50,42002,41992,42014,"4,64","100,000%","1,06250","2,21","0,00","2133,0"
Thread ONET.PL:4 /success.txt,50,42006,41993,42029,"9,42","100,000%","1,06232","2,21","0,00","2133,0"
Thread ONET.PL:5 /success.txt,50,41999,41992,42020,"4,87","100,000%","1,06216","2,21","0,00","2133,0"
Thread ONET.PL:6 /success.txt,50,42002,41995,42009,"4,49","100,000%","1,06232","2,21","0,00","2133,0"
Thread ONET.PL:7 /success.txt,50,42000,41993,42009,"3,71","100,000%","1,06229","2,21","0,00","2133,0"
Thread ONET.PL:8 /success.txt,50,42002,41995,42031,"6,64","100,000%","1,06238","2,21","0,00","2133,0"
Thread ONET.PL:9 /success.txt,50,42004,41996,42087,"12,43","100,000%","1,06304","2,21","0,00","2133,0"
Thread ONET.PL:10 /,50,213,145,315,"48,80","0,000%","9,49668","1546,72","3,33","166779,0"
Thread ONET.PL:12 /success.txt,50,42002,41995,42017,"5,18","100,000%","1,06168","2,21","0,00","2133,0"
Thread ONET.PL:13 /success.txt,50,42002,41997,42022,"4,96","100,000%","1,06189","2,21","0,00","2133,0"
Thread ONET.PL:14 /success.txt,50,42002,41997,42016,"5,23","100,000%","1,06225","2,21","0,00","2133,0"
Thread ONET.PL:15 /success.txt,50,42004,41996,42030,"7,51","100,000%","1,06263","2,21","0,00","2133,0"
Thread ONET.PL:16 /success.txt,50,3226,640,5663,"1473,36","100,000%","8,78117","18,36","0,00","2141,0"
RAZEM,750,50668,145,294391,"67090,19","86,667%","1,60151","56,29","0,11","35988,7"
